TET2;10.154.188.30
TET4;10.154.189.86
TET8;10.154.188.6
TNP0;10.154.190.190
HPSY;10.154.190.206
BAN2;10.154.190.118
CRA0;10.154.189.94
CRA2;10.154.188.246
CRA4;10.154.188.182
CRA6;10.154.190.134
CRA8;10.154.189.70
CRB0;10.154.188.86
CRB2;10.154.188.150
CRB6;10.154.189.38
CRB8;10.154.189.238
CRC0;10.154.188.198
CRC2;10.154.189.22
CRC6;10.154.189.174
CRC8;10.154.188.214
CRD2;10.154.188.102
CRD4;10.154.188.134
CRE0;10.154.190.158
CRE4;10.154.189.190
CRE6;10.154.188.166
CRF0;10.154.188.118
CRF2;10.154.189.54
CRF4;10.154.188.38
CRF6;10.154.189.206
CRF8;10.154.189.158
CRG0;10.154.188.230
CRG2;10.154.189.222
CRG4;10.154.188.54
CRG6;10.154.189.110
CRG8;10.154.190.182
CRH0;10.154.189.142
CRH2;10.154.189.126
CRH4;10.154.189.6
CRH6;10.154.188.70
CRH8;10.154.189.254
CRI0;10.154.190.38
CRI2;10.154.190.54
CRI4;10.154.190.14
CRI6;10.154.190.70
CRI8;10.154.190.86
CRK6;10.154.190.102
NBK2;10.154.190.126
